,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu
0,2020-03-11,1,0,0,0,0
1,2020-03-12,0,0,0,0,0
2,2020-03-13,1,0,0,0,0
3,2020-03-14,6,0,0,0,0
4,2020-03-15,2,3,0,0,0
5,2020-03-16,3,3,0,0,0
6,2020-03-17,6,0,0,0,0
7,2020-03-18,1,3,0,0,0
8,2020-03-19,9,2,0,0,0
9,2020-03-20,10,2,0,0,0
10,2020-03-21,7,2,0,0,0
11,2020-03-22,11,10,0,0,0
12,2020-03-23,17,3,0,6,15
13,2020-03-24,15,5,0,13,19
14,2020-03-25,13,8,0,15,18
15,2020-03-26,25,9,0,21,25
16,2020-03-27,18,12,0,27,31
17,2020-03-28,21,6,0,29,40
18,2020-03-29,14,10,0,31,41
19,2020-03-30,24,9,0,30,40
20,2020-03-31,22,16,0,32,41
21,2020-04-01,42,13,0,34,47
22,2020-04-02,27,12,0,36,50
23,2020-04-03,15,23,0,41,58
24,2020-04-04,22,20,0,42,60
25,2020-04-05,19,18,0,43,60
26,2020-04-06,25,21,0,48,65
27,2020-04-07,23,34,0,50,66
28,2020-04-08,27,19,0,48,61
29,2020-04-09,19,21,0,45,62
30,2020-04-10,15,21,0,47,70
31,2020-04-11,16,20,0,49,65
32,2020-04-12,9,10,0,48,65
33,2020-04-13,13,22,0,47,67
34,2020-04-14,11,8,0,47,61
35,2020-04-15,9,12,0,49,61
36,2020-04-16,12,11,0,47,62
37,2020-04-17,4,14,0,45,62
38,2020-04-18,8,7,0,39,61
39,2020-04-19,6,13,0,39,56
40,2020-04-20,17,10,0,37,56
41,2020-04-21,11,10,0,33,57
42,2020-04-22,8,10,0,31,50
43,2020-04-23,4,18,0,31,49
44,2020-04-24,7,10,0,26,46
45,2020-04-25,4,6,0,25,37
46,2020-04-26,7,12,0,24,34
47,2020-04-27,3,13,0,17,37
48,2020-04-28,6,5,0,16,36
49,2020-04-29,8,6,0,14,26
50,2020-04-30,6,5,0,14,24
51,2020-05-01,4,12,0,9,23
52,2020-05-02,3,5,0,6,16
53,2020-05-03,4,5,0,7,18
54,2020-05-04,13,7,0,0,0
55,2020-05-05,8,8,0,0,0
56,2020-05-06,8,8,0,0,0
57,2020-05-07,13,8,0,0,0
58,2020-05-08,6,14,0,0,0
59,2020-05-09,19,1,0,0,0
60,2020-05-10,13,2,0,0,0
61,2020-05-11,6,6,0,0,0
62,2020-05-12,8,7,0,0,0
63,2020-05-13,10,7,0,0,0
64,2020-05-14,8,5,0,0,0
65,2020-05-15,15,9,0,0,0
66,2020-05-16,8,5,0,0,0
67,2020-05-17,5,2,0,0,0
68,2020-05-18,8,4,0,0,0
69,2020-05-19,12,13,0,0,0
70,2020-05-20,13,8,0,0,0
71,2020-05-21,18,12,0,0,0
72,2020-05-22,15,13,0,0,0
73,2020-05-23,8,9,0,0,0
74,2020-05-24,8,3,0,0,0
75,2020-05-25,5,4,0,0,0
76,2020-05-26,11,9,0,0,0
77,2020-05-27,13,9,0,0,0
78,2020-05-28,11,8,0,0,0
79,2020-05-29,7,14,0,0,0
80,2020-05-30,8,10,0,0,0
81,2020-05-31,5,6,0,0,0
82,2020-06-01,7,13,0,0,0
83,2020-06-02,7,14,0,0,0
84,2020-06-03,17,16,0,0,0
85,2020-06-04,13,20,0,0,0
86,2020-06-05,20,10,0,0,0
87,2020-06-06,16,14,0,0,0
88,2020-06-07,19,9,0,0,0
89,2020-06-08,14,23,0,0,0
90,2020-06-09,11,24,0,0,0
91,2020-06-10,17,13,0,0,0
92,2020-06-11,18,13,0,0,0
93,2020-06-12,23,20,0,0,0
94,2020-06-13,18,13,0,0,0
95,2020-06-14,10,10,0,0,0
96,2020-06-15,23,19,0,0,0
97,2020-06-16,20,24,0,0,0
98,2020-06-17,34,25,0,0,0
99,2020-06-18,27,22,0,0,0
100,2020-06-19,36,22,0,0,0
101,2020-06-20,30,22,0,0,0
102,2020-06-21,27,11,0,0,0
103,2020-06-22,29,30,0,0,0
104,2020-06-23,35,31,0,0,0
